Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN
31.10.2011;468,221;3,1321;1466,515;95,5294;96,9475
30.11.2011;454,205;3,346;1519,7699;95,4489;97,5987
31.12.2011;453,2873;3,4443;1561,2574;95,2134;98,0057
31.01.2012;479,6445;3,2382;1553,1848;95,6324;98,6569
29.02.2012;503,7771;3,0842;1553,7493;96,0534;99,0639
31.03.2012;507,1231;3,104;1574,1101;96,7829;99,5523
30.04.2012;501,3238;3,1549;1581,6265;97,0753;100,1221
31.05.2012;456,3761;3,5494;1619,8613;96,9614;100,2849
30.06.2012;478,916;3,3345;1596,9454;96,8192;100,4477
31.07.2012;485,4723;3,3433;1623,0795;96,6614;99,9593
31.08.2012;496,0281;3,3147;1644,1843;97,1994;99,6337
30.09.2012;511,6511;3,1938;1634,1113;97,6331;99,7151
31.10.2012;508,2408;3,1876;1620,0684;97,5951;100,1221
30.11.2012;514,7399;3,1543;1623,6441;97,1327;100,2035
31.12.2012;526,3991;3,0935;1628,4156;96,8711;100,2849
31.01.2013;550,6495;3,0876;1700,1854;97,1576;100,3663
28.02.2013;550,5638;3,1696;1745,067;97,9533;100,3663
31.03.2013;560,6304;3,2566;1825,749;98,2094;100,5291
30.04.2013;576,6461;3,1593;1821,798;98,1073;100,9361
31.05.2013;575,0642;3,2935;1893,9739;98,282;100,8547
30.06.2013;558,2557;3,3291;1858,4891;98,5178;100,8547
31.07.2013;584,9808;3,2018;1872,9915;98,5566;101,1803
31.08.2013;572,7931;3,2311;1850,7518;98,6752;100,8547
30.09.2013;602,3785;3,119;1878,8185;98,79;100,9361
31.10.2013;626,5896;3,0753;1926,951;98,5356;101,0989
30.11.2013;635,4635;3,0931;1965,5522;98,3343;100,9361
31.12.2013;646,4263;3,018;1950,9146;98,3259;101,0175
31.01.2014;620,569;3,1495;1954,4821;98,6917;101,0989
28.02.2014;650,5472;3,0102;1958,2772;99,0566;101,1803
31.03.2014;653,4397;3,02;1973,3879;99,6945;101,2617
30.04.2014;659,6603;3,0276;1997,1875;100,0232;101,2617
31.05.2014;673,6906;3,0321;2042,6973;100,3725;101,1803
30.06.2014;686,3747;3,0328;2081,6372;100,5595;101,1803
31.07.2014;678,0508;3,1173;2113,6878;100,5202;101,0175
31.08.2014;693,0274;3,2009;2218,3114;100,3523;100,6105
30.09.2014;670,5553;3,3059;2216,7888;100,4278;100,6105
31.10.2014;675,2761;3,3746;2278,7867;100,1755;100,6105
30.11.2014;686,5711;3,3602;2307,0162;99,6346;100,4477
31.12.2014;673,3228;3,5412;2384,3707;99,0697;100,1221
31.01.2015;662,7956;3,7028;2454,1995;98,6035;99,9593
28.02.2015;699,6944;3,7052;2592,5077;99,0317;99,8779
31.03.2015;688,8529;3,79365;2613,2668;99,6211;100,0407
30.04.2015;708,8396;3,6039;2554,587;99,8236;100,4477
31.05.2015;707,9147;3,7438;2650,2911;100,3325;100,4477
30.06.2015;691,249;3,76151;2600,14;100,6839;100,4477
31.07.2015;697,2518;3,7728;2630,5916;100,6907;100,3663
31.08.2015;649,4545;3,7738;2450,9114;100,5481;99,9593
30.09.2015;625,9254;3,80065;2378,9234;100,3915;99,6337
31.10.2015;675,0512;3,8626;2607,4528;100,3464;99,7151
30.11.2015;669,4769;4,03783;2703,2339;100,1346;99,6337
31.12.2015;657,4035;3,92555;2580,6703;99,7924;99,4709
31.01.2016;617,7551;4,07996;2520,4161;99,9574;98,9825
29.02.2016;613,5056;3,99756;2452,5254;100,0397;98,9011
31.03.2016;658,9711;3,72815;2456,7431;100,4704;98,9825
30.04.2016;668,6984;3,8206;2554,8291;100,9468;99,3081
31.05.2016;669,5412;3,94105;2638,6953;101,3552;99,3895
30.06.2016;665,4881;3,93833;2620,9117;101,6881;99,5523
31.07.2016;694,1665;3,89642;2704,7642;101,5235;99,2267
31.08.2016;696,5019;3,91011;2723,399;101,6168;99,0639
30.09.2016;700,7692;3,82375;2679,5662;101,861;99,0639
31.10.2016;688,8744;3,92543;2704,1282;101,988;99,5523
30.11.2016;694,1094;4,20465;2918,4871;101,8294;99,6337
31.12.2016;709,1039;4,18547;2967,9331;101,8627;100,3663
31.01.2017;728,4942;4,00257;2915,849;102,4564;100,7733
28.02.2017;748,9308;4,0722;3049,796;102,7787;101,0989
31.03.2017;758,0903;3,96555;3006,245;102,8622;101,0175
30.04.2017;769,9066;3,8792;2986,6217;103,1673;101,3431
31.05.2017;786,908;3,71934;2926,7784;103,2555;101,3431
30.06.2017;790,4861;3,7054;2929,0672;103,3491;101,1803
31.07.2017;812,5761;3,59473;2920,9917;103,2778;101,0175
31.08.2017;815,6899;3,5632;2906,4663;103,5871;100,9361
30.09.2017;831,4486;3,64897;3033,931;104,1356;101,3431
31.10.2017;848,7142;3,63866;3088,1824;104,0697;101,8315
30.11.2017;865,1442;3,5347;3058,0252;104,0723;102,3199
31.12.2017;879,0924;3,48035;3059,5492;104,0111;102,5641
31.01.2018;928,6859;3,3455;3106,9187;104,5777;102,8897
28.02.2018;889,6839;3,42485;3047,0339;105,052;102,6455
31.03.2018;870,6399;3,42045;2977,9802;105,2895;102,5641
30.04.2018;878,9531;3,50917;3084,3958;105,708;103,0525
31.05.2018;880,0494;3,69246;3249,5472;106,1477;103,2967
30.06.2018;875,2857;3,74564;3278,5051;106,3168;103,3781
31.07.2018;901,6823;3,65888;3299,1473;106,324;103,1339
31.08.2018;908,7635;3,70651;3368,341;106,3831;103,1339
30.09.2018;912,7201;3,6865;3364,7426;106,5067;103,3781
31.10.2018;844,3219;3,83704;3239,6969;106,6949;103,7851
30.11.2018;856,6703;3,79117;3247,7827;106,3375;103,7851
31.12.2018;796,3318;3,74105;2979,1171;105,9979;103,7851
31.01.2019;859,2093;3,72365;3199,3947;106,2;103,5409
28.02.2019;882,192;3,785;3339,0967;106,6489;103,9479
31.03.2019;893,2834;3,83745;3427,9304;107,2505;104,2735
30.04.2019;923,4473;3,82155;3529;107,8184;105,4131
31.05.2019;868,6687;3,83271;3329,3552;108,0479;105,6573
30.06.2019;925,5506;3,7336;3455,6357;108,0695;105,9829
31.07.2019;928,261;3,87505;3597,0578;108,25;105,9829
31.08.2019;906,2424;3,98041;3607,2163;108,2446;105,9829
30.09.2019;925,3078;4,01056;3711,0025;108,3294;105,9829
