Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
31.12.2003;323,4649;3,7253;1205,0038;77,7581;76,6618;0,056;0,06598;
31.01.2004;328,9285;3,8589;1269,3022;78,1379;76,9431;0,0546;0,06857;
29.02.2004;334,8813;3,9283;1315,5142;78,5598;77,0134;0,055;0,06803;
31.03.2004;332,9672;3,8645;1286,7517;79,0661;77,2244;0,0549;0,06665;
30.04.2004;325,1468;4,015;1305,4644;79,3192;77,8574;0,0585;0,07274;
31.05.2004;327,6715;3,8159;1250,3617;79,7833;78,6311;0,06;0,07392;
30.06.2004;334,1564;3,6945;1234,5408;80,0365;79,3344;0,0605;0,07247;
31.07.2004;323,4613;3,633;1175,1349;79,9099;79,2641;0,0641;0,07497;
31.08.2004;325,4325;3,6526;1188,6747;79,9521;78,9124;0,07;0,07316;
30.09.2004;332,1888;3,5091;1165,6837;80,1208;79,1234;0,0691;0,06769;
31.10.2004;340,3091;3,3842;1151,6741;80,5428;79,6157;0,0684;0,06824;
30.11.2004;358,8567;3,1521;1131,1522;80,5849;79,8267;0,0677;0,06399;
31.12.2004;372,7406;2,9994;1117,9982;80,2896;79,8971;0,0664;0,05806;
31.01.2005;364,8345;3,1106;1134,8542;80,4584;79,9674;0,0661;0,05976;
28.02.2005;377,4757;2,9384;1109,1746;80,9225;79,8971;0,0631;0,05487;
31.03.2005;369,1589;3,1445;1160,8202;81,5553;79,9674;0,0591;0,05481;
30.04.2005;361,0136;3,3087;1194,4857;82,1038;80,3191;0,0559;0,05568;
31.05.2005;367,7556;3,3612;1236,1001;82,0194;80,53;0,0544;0,05125;
30.06.2005;371,4729;3,3431;1241,8711;82,0616;80,3894;0,049;0,04683;
31.07.2005;385,2104;3,3531;1291,649;82,4414;80,2487;0,0467;0,0491;
31.08.2005;388,135;3,2707;1269,4731;82,8633;80,1784;0,0461;0,04741;
30.09.2005;399,8157;3,2369;1294,1634;83,8758;80,53;0,045;0,04647;
31.10.2005;389,0456;3,3074;1286,7294;84,0446;80,8817;0,0462;0,05293;
30.11.2005;403,2116;3,3133;1335,961;83,3695;80,741;0,0463;0,05333;
31.12.2005;413,1282;3,2447;1340,4771;83,032;80,6004;0,046;0,051;
31.01.2006;433,4648;3,1457;1363,5502;83,6649;80,7489;0,044;0,05051;
28.02.2006;432,8292;3,1699;1372,0253;83,8337;80,7489;0,0416;0,04622;
31.03.2006;441,9316;3,2352;1429,7371;84,2978;80,6675;0,0417;0,04991;
30.04.2006;456,6404;3,0703;1402,023;85,015;81,1559;0,0413;0,05169;
31.05.2006;438,6392;3,0666;1345,131;85,4369;81,6443;0,0415;0,05331;
30.06.2006;438,4499;3,1906;1398,9183;85,6057;81,4001;0,0421;0,05685;
31.07.2006;441,4424;3,0912;1364,5867;85,8588;81,4815;0,0418;0,05601;
31.08.2006;452,8873;3,0798;1394,8023;86,0276;81,7257;0,0419;0,05594;
30.09.2006;458,1652;3,1276;1432,9575;85,6057;81,8071;0,0422;0,0551;
31.10.2006;475,3487;3,0285;1439,5935;85,1416;81,7257;0,0421;0,05301;
30.11.2006;488,7898;2,8761;1405,8083;85,015;81,8071;0,042;0,05173;
31.12.2006;499,6955;2,9018;1450,0164;85,1416;81,7257;0,042;0,05223;1000
31.01.2007;504,6663;3,0079;1517,9858;85,4015;82,0513;0,0419;0,0516;1006,26
28.02.2007;502,0095;2,969;1490,4662;85,8584;82,2955;0,0422;0,05224;1006,41
31.03.2007;512,076;2,8854;1477,5441;86,6402;82,7025;0,0424;0,05209;1011,55
30.04.2007;534,8088;2,7719;1482,4365;87,203;83,1095;0,044;0,05327;1012,25
